Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
197,Squad,Reconnaissance,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Basic,318,Mechanized Infantry,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Peacekeeping,Desert,Clear,Dusk,None,Yes (Artillery),Encirclement,Observe and Report,4
161,Company,Infantry,Mixed,Specialized Gear,Centralized (Flexible),Basic,488,Cyber Warfare,Improvised Explosive Devices (IEDs),Fanatical,Weak,Secure Objective,Island,Extreme Heat,Dusk,Low,No,Patrolling,Return Fire Only,1
476,Platoon,Armored,Rookie,Specialized Gear,Centralized (Flexible),Overstocked,104,Irregular Militia,Standard Equipment,Low,Incompetent,Peacekeeping,Suburban,Heavy Rain,Dusk,Medium,Yes (Air & Artillery),Patrolling,Weapons Free,2
6,Company,Infantry,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Well-Supplied,441,Guerrilla,Sniper Teams,Medium,Strong,Rescue/Evacuation,Coastal,Fog,Dawn,High,Yes (Air Support),Aggressive Push,Minimize Collateral Damage,8
193,Platoon,Military Police,Mixed,Standard Issue,Centralized (Strict Hierarchy),Overstocked,465,Special Forces,Improvised Explosive Devices (IEDs),Medium,Weak,Secure Objective,Desert,Heavy Rain,Night,Low,Yes (Artillery),Infiltration,Non-Lethal Force Only,5
910,Battalion,Armored,Elite,Standard Issue,Centralized (Strict Hierarchy),Basic,250,Armored,Standard Equipment,Fanatical,Strong,Counter-insurgency,Urban,Clear,Dusk,Medium,Yes (Artillery & Close Air Support),Tactical Retreat,Weapons Free,3
11,Squad,Mechanized,Veteran,Basic (Limited Ammo),Centralized (Flexible),Adequate,60,Mechanized Infantry,Sniper Teams,Medium,Tactical Genius,Counter-insurgency,Suburban,Blizzard,Night,None,Yes (Air Support),Tactical Retreat,Protect Civilians at All Costs,5
4,Company,Airborne,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Overstocked,369,Mechanized Infantry,Advanced Communication,Low,Incompetent,Rescue/Evacuation,Suburban,Blizzard,Dusk,Medium,Yes (Artillery),Aggressive Push,Non-Lethal Force Only,8
13,Battalion,Infantry,Elite,Advanced Weaponry,Decentralized,Well-Supplied,183,Cyber Warfare,Advanced Communication,High,Competent,Infrastructure Protection,Island,Heavy Rain,Day,High,Yes (Artillery & Close Air Support),Tactical Retreat,Non-Lethal Force Only,4
6,Battalion,Military Police,Rookie,Riot Gear,Centralized (Strict Hierarchy),Basic,425,Light Infantry,Standard Equipment,Medium,Strong,Peacekeeping,Suburban,Snow,Dusk,None,Yes (Artillery),Encirclement,Minimize Collateral Damage,1
93,Platoon,Engineers,Rookie,Advanced Weaponry,Decentralized,Adequate,98,Guerrilla,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Rescue/Evacuation,Forest,Clear,Day,Medium,Yes (Air & Artillery),Aggressive Push,Protect Civilians at All Costs,3
11,Platoon,Engineers,Mixed,Medical Supplies,Decentralized (Limited Communication),Adequate,45,Drone Operators,Sniper Teams,Medium,Strong,Peacekeeping,Mountain,Sandstorm,Day,High,Yes (Artillery & Close Air Support),Infiltration,Return Fire Only,3
11,Battalion,Airborne,Elite,Basic (Limited Ammo),Centralized (Flexible),Minimal,177,Cyber Warfare,Sniper Teams,Fanatical,Incompetent,Cyber Defense,Island,Thunderstorm,Day,High,Yes (Artillery),Aggressive Push,Return Fire Only,3
1000,Platoon,Military Police,Elite,Basic (Limited Ammo),Centralized,Overstocked,94,Light Infantry,Improvised Explosive Devices (IEDs),Low,Competent,Peacekeeping,Suburban,Sandstorm,Dusk,Low,Yes (Artillery & Close Air Support),Guerrilla Tactics,Return Fire Only,5
11,Squad,Combat Medic Team,Mixed,Medical Supplies,Centralized,Minimal,306,Cyber Warfare,Advanced Communication,Fanatical,Weak,Cyber Defense,Jungle,Light Rain,Night,None,Yes (Air Support),Static Defense,Minimize Collateral Damage,8
468,Battalion,Armored,Mixed,Basic (Limited Ammo),Decentralized,Adequate,381,Irregular Militia,Improvised Explosive Devices (IEDs),Low,Incompetent,Rescue/Evacuation,Island,Light Rain,Dusk,Low,Yes (Air Support),Guerrilla Tactics,Observe and Report,6
826,Fire Team,Airborne,Mixed,Basic (Limited Ammo),Decentralized,Overstocked,222,Light Infantry,Advanced Communication,Fanatical,Incompetent,Infrastructure Protection,Jungle,Clear,Dawn,None,Yes (Air Support),Encirclement,Non-Lethal Force Only,6
5,Squad,Combat Medic Team,Elite,Medical Supplies,Decentralized (Limited Communication),Well-Supplied,356,Mechanized Infantry,Sniper Teams,High,Strong,Counter-insurgency,Jungle,Blizzard,Day,None,Yes (Artillery),Patrolling,Protect Civilians at All Costs,3
22,Battalion,Military Police,Veteran,Medical Supplies,Decentralized,Basic,212,Special Forces,Sniper Teams,Medium,Strong,Cyber Defense,Forest,Extreme Cold,Day,Low,Yes (Air & Artillery),Infiltration,Return Fire Only,4
878,Squad,Airborne,Mixed,Basic (Limited Ammo),Decentralized (Limited Communication),Basic,487,Drone Operators,Sniper Teams,Low,Tactical Genius,Secure Objective,Coastal,Light Rain,Dusk,None,Yes (Air & Artillery),Static Defense,Non-Lethal Force Only,1
12,Platoon,Airborne,Rookie,Basic (Limited Ammo),Decentralized,Overstocked,52,Light Infantry,Sniper Teams,Low,Weak,Secure Objective,Suburban,Fog,Night,None,Yes (Artillery & Close Air Support),Patrolling,Weapons Free,1
5,Fire Team,Reconnaissance,Rookie,Riot Gear,Decentralized (Limited Communication),Basic,489,Special Forces,Standard Equipment,High,Weak,Eliminate Enemy Force,Island,Heavy Rain,Night,Low,Yes (Artillery & Close Air Support),Encirclement,Protect Civilians at All Costs,8
718,Squad,Reconnaissance,Mixed,Riot Gear,Decentralized,Minimal,262,Special Forces,Improvised Explosive Devices (IEDs),High,Strong,Counter-insurgency,Suburban,Thunderstorm,Day,High,Yes (Artillery & Close Air Support),Tactical Retreat,Return Fire Only,7
47,Squad,Airborne,Rookie,Basic (Limited Ammo),Centralized,Overstocked,420,Cyber Warfare,Improvised Explosive Devices (IEDs),Medium,Weak,Cyber Defense,Forest,Light Rain,Dusk,None,No,Aggressive Push,Return Fire Only,4
42,Battalion,Mechanized,Veteran,Riot Gear,Centralized (Flexible),Minimal,250,Mechanized Infantry,Advanced Communication,High,Competent,Secure Objective,Urban,Cloudy,Dusk,High,Yes (Air & Artillery),Patrolling,Observe and Report,9
47,Squad,Infantry,Mixed,Advanced Weaponry,Centralized,Basic,291,Mechanized Infantry,Sniper Teams,Fanatical,Tactical Genius,Reconnaissance,Island,Heavy Rain,Night,Medium,Yes (Artillery & Close Air Support),Infiltration,Non-Lethal Force Only,2
236,Company,Combat Medic Team,Rookie,Specialized Gear,Centralized (Flexible),Well-Supplied,374,Guerrilla,Advanced Communication,Low,Strong,Eliminate Enemy Force,Desert,Clear,Night,Medium,Yes (Artillery & Close Air Support),Tactical Retreat,Return Fire Only,6
11,Battalion,Mechanized,Veteran,Standard Issue,Centralized (Flexible),Well-Supplied,52,Drone Operators,Standard Equipment,Medium,Strong,Rescue/Evacuation,Arctic,Heavy Rain,Day,High,Yes (Artillery),Aggressive Push,Return Fire Only,1
12,Company,Infantry,Mixed,Medical Supplies,Decentralized,Basic,62,Irregular Militia,Standard Equipment,High,Incompetent,Eliminate Enemy Force,Urban,Clear,Dusk,Medium,No,Guerrilla Tactics,Non-Lethal Force Only,3
302,Fire Team,Special Forces,Mixed,Standard Issue,Centralized (Strict Hierarchy),Well-Supplied,312,Guerrilla,Standard Equipment,Low,Charismatic Leader,Peacekeeping,Coastal,Snow,Day,Medium,Yes (Artillery),Patrolling,Non-Lethal Force Only,7
224,Fire Team,Special Forces,Veteran,Basic (Limited Ammo),Centralized (Flexible),Basic,431,Drone Operators,Standard Equipment,Fanatical,Strong,Counter-insurgency,Desert,Extreme Heat,Night,Low,Yes (Naval Gunfire),Static Defense,Return Fire Only,9
159,Company,Mechanized,Mixed,Medical Supplies,Centralized (Flexible),Overstocked,452,Light Infantry,Advanced Communication,Medium,Weak,Infrastructure Protection,Urban,Fog,Dawn,None,Yes (Air Support),Guerrilla Tactics,Non-Lethal Force Only,1
49,Battalion,Military Police,Elite,Basic (Limited Ammo),Centralized,Minimal,194,Guerrilla,Sniper Teams,Fanatical,Incompetent,Counter-insurgency,Rural,Snow,Day,Medium,Yes (Artillery & Close Air Support),Encirclement,Weapons Free,6
4,Fire Team,Armored,Elite,Standard Issue,Decentralized,Adequate,115,Special Forces,Sniper Teams,High,Competent,Rescue/Evacuation,Suburban,Extreme Heat,Dusk,High,Yes (Air Support),Guerrilla Tactics,Protect Civilians at All Costs,5
176,Platoon,Airborne,Veteran,Basic (Limited Ammo),Centralized (Strict Hierarchy),Adequate,74,Special Forces,Standard Equipment,Medium,Competent,Secure Objective,Suburban,Extreme Heat,Day,None,Yes (Artillery),Static Defense,Protect Civilians at All Costs,4
37,Battalion,Armored,Rookie,Basic (Limited Ammo),Centralized (Flexible),Well-Supplied,218,Guerrilla,Improvised Explosive Devices (IEDs),High,Strong,Infrastructure Protection,Island,Extreme Cold,Night,Medium,Yes (Air & Artillery),Encirclement,Return Fire Only,7
29,Platoon,Mechanized,Veteran,Medical Supplies,Decentralized,Adequate,100,Light Infantry,Sniper Teams,High,Strong,Cyber Defense,Urban,Thunderstorm,Night,None,Yes (Air Support),Encirclement,Weapons Free,2
922,Squad,Armored,Rookie,Standard Issue,Centralized,Adequate,174,Special Forces,Improvised Explosive Devices (IEDs),High,Strong,Peacekeeping,Suburban,Sandstorm,Day,None,No,Aggressive Push,Non-Lethal Force Only,5
13,Company,Combat Medic Team,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Minimal,135,Drone Operators,Standard Equipment,High,Incompetent,Rescue/Evacuation,Forest,Fog,Dusk,High,Yes (Naval Gunfire),Patrolling,Return Fire Only,3
9,Company,Military Police,Mixed,Riot Gear,Centralized,Adequate,462,Guerrilla,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Infrastructure Protection,Desert,Heavy Rain,Night,Low,Yes (Air Support),Aggressive Push,Minimize Collateral Damage,1
189,Platoon,Airborne,Elite,Advanced Weaponry,Centralized (Flexible),Adequate,122,Irregular Militia,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Infrastructure Protection,Coastal,Light Rain,Dusk,High,Yes (Air & Artillery),Aggressive Push,Observe and Report,4
31,Platoon,Special Forces,Elite,Basic (Limited Ammo),Decentralized,Minimal,369,Drone Operators,Standard Equipment,High,Competent,Rescue/Evacuation,Urban,Cloudy,Dawn,Medium,No,Encirclement,Non-Lethal Force Only,6
9,Fire Team,Military Police,Mixed,Specialized Gear,Decentralized,Basic,245,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Strong,Cyber Defense,Jungle,Extreme Heat,Day,Low,No,Static Defense,Return Fire Only,3
639,Fire Team,Armored,Elite,Riot Gear,Centralized (Strict Hierarchy),Basic,257,Mechanized Infantry,Standard Equipment,High,Incompetent,Peacekeeping,Jungle,Blizzard,Dawn,Medium,Yes (Air Support),Infiltration,Return Fire Only,4
536,Squad,Airborne,Rookie,Medical Supplies,Decentralized,Well-Supplied,255,Drone Operators,Sniper Teams,Fanatical,Charismatic Leader,Counter-insurgency,Mountain,Extreme Cold,Dawn,Medium,Yes (Artillery),Guerrilla Tactics,Observe and Report,9
4,Company,Infantry,Elite,Riot Gear,Centralized (Flexible),Minimal,394,Special Forces,Advanced Communication,Medium,Incompetent,Peacekeeping,Island,Snow,Dusk,Medium,Yes (Air & Artillery),Infiltration,Non-Lethal Force Only,5
793,Platoon,Special Forces,Rookie,Basic (Limited Ammo),Centralized (Flexible),Adequate,215,Drone Operators,Sniper Teams,Fanatical,Weak,Cyber Defense,Arctic,Extreme Cold,Dawn,Low,Yes (Artillery & Close Air Support),Aggressive Push,Return Fire Only,8
6,Battalion,Reconnaissance,Elite,Specialized Gear,Centralized,Overstocked,81,Special Forces,Sniper Teams,High,Charismatic Leader,Rescue/Evacuation,Urban,Extreme Cold,Day,Medium,Yes (Air & Artillery),Tactical Retreat,Non-Lethal Force Only,3
449,Company,Reconnaissance,Elite,Advanced Weaponry,Decentralized,Well-Supplied,400,Cyber Warfare,Sniper Teams,Low,Weak,Eliminate Enemy Force,Coastal,Extreme Cold,Day,None,Yes (Artillery & Close Air Support),Static Defense,Observe and Report,4
9,Squad,Engineers,Mixed,Basic (Limited Ammo),Decentralized (Limited Communication),Minimal,81,Armored,Improvised Explosive Devices (IEDs),Medium,Competent,Infrastructure Protection,Jungle,Fog,Dusk,Medium,Yes (Artillery),Static Defense,Weapons Free,6
134,Platoon,Airborne,Elite,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,182,Light Infantry,Advanced Communication,Low,Competent,Cyber Defense,Urban,Clear,Dawn,None,No,Aggressive Push,Non-Lethal Force Only,2
407,Fire Team,Special Forces,Rookie,Riot Gear,Centralized,Well-Supplied,304,Cyber Warfare,Sniper Teams,High,Incompetent,Infrastructure Protection,Coastal,Clear,Dawn,High,Yes (Artillery & Close Air Support),Static Defense,Weapons Free,3
5,Fire Team,Engineers,Mixed,Standard Issue,Centralized,Minimal,266,Drone Operators,Advanced Communication,Low,Competent,Eliminate Enemy Force,Suburban,Snow,Night,None,Yes (Air Support),Guerrilla Tactics,Observe and Report,4
180,Squad,Combat Medic Team,Mixed,Basic (Limited Ammo),Centralized (Flexible),Well-Supplied,423,Special Forces,Improvised Explosive Devices (IEDs),Low,Weak,Reconnaissance,Island,Blizzard,Dawn,Low,No,Patrolling,Minimize Collateral Damage,8
179,Battalion,Mechanized,Veteran,Riot Gear,Decentralized,Adequate,424,Drone Operators,Advanced Communication,Fanatical,Tactical Genius,Infrastructure Protection,Arctic,Fog,Night,Medium,Yes (Naval Gunfire),Encirclement,Non-Lethal Force Only,1
5,Company,Mechanized,Veteran,Medical Supplies,Decentralized (Limited Communication),Basic,209,Light Infantry,Standard Equipment,Medium,Competent,Reconnaissance,Mountain,Snow,Dusk,Low,Yes (Artillery & Close Air Support),Encirclement,Non-Lethal Force Only,3
6,Squad,Combat Medic Team,Mixed,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,327,Irregular Militia,Improvised Explosive Devices (IEDs),High,Tactical Genius,Infrastructure Protection,Coastal,Fog,Dawn,None,Yes (Naval Gunfire),Aggressive Push,Observe and Report,7
9,Platoon,Combat Medic Team,Rookie,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,284,Mechanized Infantry,Improvised Explosive Devices (IEDs),High,Charismatic Leader,Peacekeeping,Suburban,Fog,Day,None,Yes (Artillery),Patrolling,Observe and Report,8
50,Platoon,Infantry,Rookie,Advanced Weaponry,Centralized (Strict Hierarchy),Basic,288,Drone Operators,Standard Equipment,Fanatical,Incompetent,Secure Objective,Coastal,Thunderstorm,Dusk,Medium,Yes (Air Support),Guerrilla Tactics,Protect Civilians at All Costs,2
44,Battalion,Combat Medic Team,Mixed,Standard Issue,Decentralized (Limited Communication),Basic,30,Guerrilla,Sniper Teams,Fanatical,Weak,Rescue/Evacuation,Coastal,Snow,Night,None,Yes (Air & Artillery),Infiltration,Non-Lethal Force Only,6
12,Battalion,Combat Medic Team,Mixed,Specialized Gear,Decentralized,Well-Supplied,303,Light Infantry,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Rescue/Evacuation,Island,Extreme Cold,Night,Medium,Yes (Air & Artillery),Tactical Retreat,Minimize Collateral Damage,4
8,Fire Team,Special Forces,Mixed,Riot Gear,Decentralized,Adequate,93,Irregular Militia,Advanced Communication,Fanatical,Tactical Genius,Eliminate Enemy Force,Jungle,Thunderstorm,Dawn,None,Yes (Artillery),Patrolling,Observe and Report,1
36,Battalion,Engineers,Rookie,Riot Gear,Decentralized,Adequate,268,Drone Operators,Improvised Explosive Devices (IEDs),Low,Tactical Genius,Peacekeeping,Jungle,Snow,Night,Medium,No,Aggressive Push,Minimize Collateral Damage,8
41,Company,Military Police,Rookie,Riot Gear,Centralized (Flexible),Minimal,121,Light Infantry,Standard Equipment,Medium,Incompetent,Counter-insurgency,Jungle,Cloudy,Day,High,Yes (Air & Artillery),Guerrilla Tactics,Weapons Free,5
13,Fire Team,Military Police,Veteran,Riot Gear,Centralized,Well-Supplied,196,Drone Operators,Improvised Explosive Devices (IEDs),High,Strong,Peacekeeping,Urban,Heavy Rain,Dusk,Medium,No,Tactical Retreat,Weapons Free,3
19,Platoon,Armored,Mixed,Medical Supplies,Centralized,Minimal,405,Guerrilla,Sniper Teams,Low,Competent,Eliminate Enemy Force,Desert,Extreme Cold,Night,Medium,Yes (Artillery & Close Air Support),Encirclement,Non-Lethal Force Only,3
668,Company,Military Police,Mixed,Standard Issue,Centralized (Flexible),Well-Supplied,371,Special Forces,Improvised Explosive Devices (IEDs),Medium,Competent,Secure Objective,Mountain,Blizzard,Dusk,Medium,Yes (Air & Artillery),Infiltration,Non-Lethal Force Only,5
6,Battalion,Infantry,Mixed,Medical Supplies,Decentralized,Overstocked,260,Mechanized Infantry,Standard Equipment,High,Competent,Infrastructure Protection,Mountain,Fog,Dawn,Medium,Yes (Naval Gunfire),Encirclement,Weapons Free,5
473,Battalion,Engineers,Rookie,Riot Gear,Decentralized,Minimal,255,Armored,Standard Equipment,Low,Incompetent,Counter-insurgency,Urban,Extreme Heat,Dusk,Medium,Yes (Air & Artillery),Guerrilla Tactics,Observe and Report,1
20,Squad,Mechanized,Rookie,Medical Supplies,Centralized,Basic,231,Drone Operators,Standard Equipment,Medium,Charismatic Leader,Counter-insurgency,Suburban,Fog,Day,Medium,Yes (Air & Artillery),Infiltration,Protect Civilians at All Costs,3
